company_id,speciality
91459053,Online professional network
91459053,Jobs
91459053,People search
91459053,Company search
91459053,Address book
91459053,Advertising
91459053,Professional identity
91459053,Recruiting
62424,Multifamily property management
62424,Multifamily property development
1387626,Property management
1387626,Renovation
1387626,Multifamily property management
1387626,Construction
1387626,Development
1387626,Investments
2502541,It staffing & recruiting
2502541,"Software development / interactive, mobile, apps etc."
2502541,Application performance management
2502541,Network management
2502541,Program / project management
2502541,Cloud solutions
2502541,Sap
2502541,Oracle
2502541,Federal government
2502541,Front and back end development
2502541,Risk assurance
2502541,Salesforce
2502541,Cybersecurity
2502541,It audit
2502541,Financial audit
2502541,Data scientist
2502541,Ui/ux design and development
2502541,Web development
2502541,Mainframe
2502541,Business analysis
2502541,Sharepoint
2502541,Technical support
298409,Temporary
298409,Temporary-to-hire
298409,Direct hire
298409,Executive search
298409,Clerical
298409,Administrative
298409,Customer service
298409,Light industrial
298409,Professional
298409,Accounting
298409,Finance
298409,I.t.
298409,Technology
298409,Legal
298409,Attorneys
298409,Msp
298409,Vms
298409,On-site staffing
298409,Rpo
298409,Staffing
298409,Recruiting
298409,Locum tenens
37768,Managed services
37768,Application support
37768,Av/vc services
37768,Help desk services
37768,It alm
37768,It service desk
37768,Itsm services
37768,Cloud services
37768,Data center services
37768,It program management
37768,Network engineering
37768,Noc
37768,Technology integration
37768,Ai
37768,Automation
37768,Platform engineering
37768,Application development
33874,Heart center
33874,Women's services
33874,Cancer center
33874,Orthopaedics
33874,Birth center
33874,Family medicine
33874,Urgent care
33874,General surgery
33874,Alzheimer's care
33874,Occupational health
33874,Weight-loss surgery
33874,Emergency medicine
33874,Health and wellness
81886402,Home health
81886402,In-home care
81886402,In-home healthcare
6979,Laboratory testing
6979,"Chemical analysis, testing, compliance & certification"
6979,Regulatory compliance consulting
6979,"Systems certification, inspection & auditing"
6979,Food & agricultural services
6979,"Softlines, toys & hardlines"
6979,Exploration & production
6979,Consulting & training
2999886,Staffing
2999886,Creative
2999886,Design
2999886,Technology services
8288,Information technology
8288,Defense
8288,Intelligence
8288,Aviation
8288,Security
8288,Surveillance
8288,Power
8288,Cyber security
8288,Infrared
8288,Engineering
8288,Innovation
8288,Stem
8288,Naval systems
8288,Maritime systems
8288,Satellite communications
8288,Network infrastructure
61677,Global contingent workforce management
61677,Strategic project staffing and sow services
40934666,Technology
40934666,Biotechnology
40934666,Saas
10665641,Perfume
10665641,Leather goods
10665641,Cosmetics
10665641,Luxury
10665641,Fashion
10665641,Lifestyle
10665641,Beauty
10665641,Make up
10665641,Fragrance
777243,Accounting
777243,Compliance
777243,Financial services
777243,Administrative services
777243,Consulting
777243,Staffing
777243,Recruiting
777243,Banking
777243,Cfo
777243,Human resources
777243,Sox
777243,Financial reporting
777243,Temporary employment
777243,Healthcare
777243,Legal
777243,Risk
777243,Information technology
777243,Employment
777243,Search
166612,Theme parks
166612,Amusement parks
166612,Destination resort
166612,Entertainment
166612,Leisure
22681,Non-profit professional society
22681,Oncology
22681,Cme
22681,Quality care
22681,Data
22681,Health information
22681,Cancer
22681,Cancer research
22681,Oncology journals
22681,Oncology news
22681,Professional society
22681,Healthcare association
22681,Cancer care
22681,Medical conference
