salary_id,job_id,med_salary,pay_period,currency,compensation_type
10,3691799471,116850,YEARLY,USD,BASE_SALARY
11,3691799474,17,HOURLY,USD,BASE_SALARY
13,3692301162,69,HOURLY,USD,BASE_SALARY
14,3692301169,61500,YEARLY,USD,BASE_SALARY
15,3692301171,41500,YEARLY,USD,BASE_SALARY
16,3692302089,75,HOURLY,USD,BASE_SALARY
17,3696362362,64500,YEARLY,USD,BASE_SALARY
19,3696388859,220612,YEARLY,USD,BASE_SALARY
20,3696394452,64,HOURLY,USD,BASE_SALARY
21,3696396337,37,HOURLY,USD,BASE_SALARY
22,3696396357,137500,YEARLY,USD,BASE_SALARY
25,3700101731,19,HOURLY,USD,BASE_SALARY
27,3700107001,19,HOURLY,USD,BASE_SALARY
31,3700144594,72500,YEARLY,USD,BASE_SALARY
32,3700147810,137500,YEARLY,USD,BASE_SALARY
33,3690804650,158500,YEARLY,USD,BASE_SALARY
34,3690813856,72500,YEARLY,USD,BASE_SALARY
35,3690821627,200000,YEARLY,USD,BASE_SALARY
36,3690832043,70000,YEARLY,USD,BASE_SALARY
37,3690834347,70000,YEARLY,USD,BASE_SALARY
39,3690841034,97902,YEARLY,USD,BASE_SALARY
40,3690841406,105000,YEARLY,USD,BASE_SALARY
42,3690846882,237500,YEARLY,USD,BASE_SALARY
44,3690850853,112500,YEARLY,USD,BASE_SALARY
45,3690853209,19,HOURLY,USD,BASE_SALARY
46,3690859360,20,HOURLY,USD,BASE_SALARY
47,3690860158,70000,YEARLY,USD,BASE_SALARY
48,3690867240,44,HOURLY,USD,BASE_SALARY
49,3690870151,102474,YEARLY,USD,BASE_SALARY
50,3692362958,23,HOURLY,USD,BASE_SALARY
51,3692363920,82500,YEARLY,USD,BASE_SALARY
52,3692364560,275000,YEARLY,USD,BASE_SALARY
53,3692368330,50120,YEARLY,USD,BASE_SALARY
54,3696987546,257000,YEARLY,USD,BASE_SALARY
55,3696987686,17,HOURLY,USD,BASE_SALARY
56,3696988111,147000,YEARLY,USD,BASE_SALARY
57,3696990096,257000,YEARLY,USD,BASE_SALARY
58,3696990991,4000,MONTHLY,USD,BASE_SALARY
59,3696990992,4000,MONTHLY,USD,BASE_SALARY
60,3696990993,4000,MONTHLY,USD,BASE_SALARY
61,3696993074,17,HOURLY,USD,BASE_SALARY
62,3696994822,4000,MONTHLY,USD,BASE_SALARY
63,3696994861,4000,MONTHLY,USD,BASE_SALARY
64,3696995466,4000,MONTHLY,USD,BASE_SALARY
65,3696997069,4000,MONTHLY,USD,BASE_SALARY
66,3696997071,4000,MONTHLY,USD,BASE_SALARY
67,3696998251,87500,YEARLY,USD,BASE_SALARY
68,3700191806,18,HOURLY,USD,BASE_SALARY
69,3700326545,21,HOURLY,USD,BASE_SALARY
70,3700333196,50000,YEARLY,USD,BASE_SALARY
71,3700345653,70000,YEARLY,USD,BASE_SALARY
73,3700368597,75000,YEARLY,USD,BASE_SALARY
74,3700377536,50000,YEARLY,USD,BASE_SALARY
75,3700386731,18,HOURLY,USD,BASE_SALARY
76,3700388143,82500,YEARLY,USD,BASE_SALARY
78,3700391622,77500,YEARLY,USD,BASE_SALARY
80,3700398203,60000,YEARLY,USD,BASE_SALARY
81,3700533944,17,HOURLY,USD,BASE_SALARY
82,3700534083,17,HOURLY,USD,BASE_SALARY
83,3700536480,198075,YEARLY,USD,BASE_SALARY
84,3700541621,11,HOURLY,USD,BASE_SALARY
85,3700542410,144611,YEARLY,USD,BASE_SALARY
86,3700542993,158750,YEARLY,USD,BASE_SALARY
87,3700545279,13,HOURLY,USD,BASE_SALARY
88,3700545776,89000,YEARLY,USD,BASE_SALARY
89,3700545792,152500,YEARLY,USD,BASE_SALARY
90,3700545914,31,HOURLY,USD,BASE_SALARY
91,3700545915,35,HOURLY,USD,BASE_SALARY
92,3700545931,35,HOURLY,USD,BASE_SALARY
93,3700545942,35,HOURLY,USD,BASE_SALARY
94,3700546660,35,HOURLY,USD,BASE_SALARY
95,3700546700,35,HOURLY,USD,BASE_SALARY
96,3700546912,150000,YEARLY,USD,BASE_SALARY
97,3700547704,26,HOURLY,USD,BASE_SALARY
98,3700547716,31,HOURLY,USD,BASE_SALARY
99,3700547722,35,HOURLY,USD,BASE_SALARY
100,3700547732,35,HOURLY,USD,BASE_SALARY
101,3700548312,184050,YEARLY,USD,BASE_SALARY
102,3700548314,21,HOURLY,USD,BASE_SALARY
103,3700548315,21,HOURLY,USD,BASE_SALARY
104,3700548351,35,HOURLY,USD,BASE_SALARY
